"activity_period","operating_airline","operating_airline_iata_code","published_airline","published_airline_iata_code","geo_summary","geo_region","landing_aircraft_type","aircraft_body_type","aircraft_manufacturer","aircraft_model","aircraft_version","landing_count","total_landed_weight"
202009,"United Airlines","UA","United Airlines","UA","International","Mexico","Passenger","Narrow Body","Airbus","A320","-",37,5261326
202009,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Narrow Body","Boeing","B738","-",14,2048200
202009,"United Airlines","UA","United Airlines","UA","International","Canada","Passenger","Narrow Body","Boeing","B738","-",1,146300
202009,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Narrow Body","Boeing","B738","-",251,36721300
202009,"United Airlines","UA","United Airlines","UA","International","Mexico","Passenger","Narrow Body","Boeing","B738","-",3,438900
202009,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Narrow Body","Boeing","B739","-",553,86986900
202009,"United Airlines","UA","United Airlines","UA","International","Canada","Passenger","Narrow Body","Boeing","B739","-",1,157300
202009,"United Airlines","UA","United Airlines","UA","International","Mexico","Passenger","Narrow Body","Boeing","B739","-",13,2044900
202009,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Narrow Body","Boeing","B752","-",52,10296000
202009,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Narrow Body","Boeing","B753","-",102,22848000
202009,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Wide Body","Boeing","B763","-",20,6400000
202009,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Wide Body","Boeing","B772","-",75,33925000
202009,"United Airlines","UA","United Airlines","UA","International","Asia","Passenger","Wide Body","Boeing","B772","-",7,3220000
202009,"United Airlines","UA","United Airlines","UA","International","Europe","Passenger","Wide Body","Boeing","B772","-",15,6910000
202009,"United Airlines","UA","United Airlines","UA","International","US","Passenger","Wide Body","Boeing","B772","-",2,920000
202009,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Wide Body","Boeing","B773","-",13,7202000
202009,"United Airlines","UA","United Airlines","UA","International","Asia","Passenger","Wide Body","Boeing","B773","-",35,19390000
202009,"United Airlines","UA","United Airlines","UA","International","Australia / Oceania","Passenger","Wide Body","Boeing","B773","-",13,7202000
202009,"United Airlines","UA","United Airlines","UA","International","Europe","Passenger","Wide Body","Boeing","B773","-",15,8310000
202009,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Wide Body","Boeing","B788","-",23,8740000
202009,"United Airlines","UA","United Airlines","UA","International","Asia","Passenger","Wide Body","Boeing","B788","-",23,8740000
202009,"United Airlines","UA","United Airlines","UA","International","Australia / Oceania","Passenger","Wide Body","Boeing","B788","-",3,1140000
202009,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Wide Body","Boeing","B789","-",49,20825000
202009,"United Airlines","UA","United Airlines","UA","International","Asia","Passenger","Wide Body","Boeing","B789","-",76,32300000
202009,"United Airlines","UA","United Airlines","UA","International","Australia / Oceania","Passenger","Wide Body","Boeing","B789","-",40,17000000
202009,"United Airlines","UA","United Airlines","UA","International","Europe","Passenger","Wide Body","Boeing","B789","-",35,14875000
202009,"United Airlines","UA","United Airlines","UA","International","Middle East","Passenger","Wide Body","Boeing","B789","-",11,4675000
202009,"United Airlines","UA","United Airlines","UA","Domestic","US","Passenger","Wide Body","Boeing","B78X","-",22,9790000
202009,"United Airlines","UA","United Airlines","UA","International","Middle East","Passenger","Wide Body","Boeing","B78X","-",1,445000
202009,"Cathay Pacific","CX","Cathay Pacific","CX","International","Asia","Passenger","Wide Body","Airbus","A350","-",6,3121740
202009,"British Airways","BA","British Airways","BA","International","Europe","Passenger","Wide Body","Boeing","B789","-",16,6800000
202009,"British Airways","BA","British Airways","BA","International","Europe","Passenger","Wide Body","Boeing","B773","-",6,3324000
202009,"British Airways","BA","British Airways","BA","International","Europe","Passenger","Wide Body","Boeing","B772","-",8,3680000
202009,"Atlas Air, Inc","5Y","Atlas Air, Inc","5Y","Domestic","US","Freighter","Wide Body","Boeing","B762","-",1,272000
202009,"Atlas Air, Inc","5Y","Atlas Air, Inc","5Y","Domestic","US","Freighter","Wide Body","Boeing","B744","-",18,11806000
202009,"Asiana Airlines","OZ","Asiana Airlines","OZ","International","Asia","Freighter","Wide Body","Boeing","B744","-",15,9764000
202009,"Asiana Airlines","OZ","Asiana Airlines","OZ","International","Asia","Passenger","Wide Body","Airbus","A359","-",18,8135064
202009,"American Airlines","AA","American Airlines","AA","Domestic","US","Passenger","Narrow Body","Boeing","B738","-",110,15840000
202009,"American Airlines","AA","American Airlines","AA","Domestic","US","Passenger","Narrow Body","Airbus","A321","-",341,58484606
202009,"American Airlines","AA","American Airlines","AA","Domestic","US","Passenger","Narrow Body","Airbus","A320","-",1,142198
202009,"All Nippon Airways","NH","All Nippon Airways","NH","International","Asia","Passenger","Wide Body","Boeing","B773","-",18,9972000
202009,"Alaska Airlines","AS","Alaska Airlines","AS","International","Mexico","Passenger","Narrow Body","Boeing","B739","-",4,629200
